,Event/Tabling,Event Date,Event Name,Event ID,Engagement Type
71,Partner Tabling,2025-06-02,Sheldon WIC Clinic,E3,Number Kids Engaged
72,Partner Tabling,2025-06-02,Sheldon WIC Clinic,E3,Number Kids Engaged
73,Partner Tabling,2025-06-02,Sheldon WIC Clinic,E3,Number Kids Engaged
74,Partner Tabling,2025-06-02,Sheldon WIC Clinic,E3,Number Kids Engaged
75,Partner Tabling,2025-06-02,Sheldon WIC Clinic,E3,Number Kids Engaged
76,Partner Tabling,2025-06-02,Sheldon WIC Clinic,E3,Number Kids Engaged
77,Partner Tabling,2025-06-02,Sheldon WIC Clinic,E3,Number Kids Engaged
78,Partner Tabling,2025-06-02,Sheldon WIC Clinic,E3,Number Kids Engaged
79,Partner Tabling,2025-06-02,Sheldon WIC Clinic,E3,Number Kids Engaged
80,Partner Tabling,2025-06-02,Sheldon WIC Clinic,E3,Number Kids Engaged
81,Partner Tabling,2025-06-02,Sheldon WIC Clinic,E3,Number Kids Engaged
82,Partner Tabling,2025-06-02,Sheldon WIC Clinic,E3,Number Kids Engaged
83,Partner Tabling,2025-06-02,Sheldon WIC Clinic,E3,Number Kids Engaged
84,Partner Tabling,2025-06-02,Sheldon WIC Clinic,E3,Number Kids Engaged
85,Partner Tabling,2025-06-02,Sheldon WIC Clinic,E3,Number Kids Engaged
86,Partner Tabling,2025-06-02,Sheldon WIC Clinic,E3,Number Kids Engaged
87,Partner Tabling,2025-06-02,Sheldon WIC Clinic,E3,Number Kids Engaged
88,Partner Tabling,2025-06-02,Sheldon WIC Clinic,E3,Number Kids Engaged
89,Partner Tabling,2025-06-02,Sheldon WIC Clinic,E3,Number Adults Engaged
90,Partner Tabling,2025-06-02,Sheldon WIC Clinic,E3,Number Adults Engaged
91,Partner Tabling,2025-06-02,Sheldon WIC Clinic,E3,Number Adults Engaged
92,Partner Tabling,2025-06-02,Sheldon WIC Clinic,E3,Number Adults Engaged
93,Partner Tabling,2025-06-02,Sheldon WIC Clinic,E3,Number Adults Engaged
94,Partner Tabling,2025-06-02,Sheldon WIC Clinic,E3,Number Adults Engaged
